The following is meaning of the table schema list:
Column: table field name, Type: table field type, Extra: special description, Comment: field meaning:
Table schema of gjdw.dw_sale_tr_goods_dt:
Column	Type	Extra	Comment
short_no	varchar		POS销售小票行号
bill_code	varchar		POS销售小票单号
dates	varchar		销售日期
on_time	varchar		销售时间
goods_id	varchar		商品ID商品内码
card_id	varchar		会员卡ID优惠卡内码
cost	decimal(30,6)		***废弃***成本单价
cost_amt	decimal(30,6)		含税成本金额
cost_notax_amt	decimal(30,6)		不含税成本金额
invoice	varchar		返利前成本
org_no	varchar		门店编码
amount	decimal(30,6)		吊牌金额
ded_rate	decimal(30,6)		***废弃***扣率
retailp	decimal(30,6)		吊牌价
profit	decimal(30,6)		毛利-不含优惠券
profit_notax	decimal(30,6)		不含税毛利-不含优惠券
tax	decimal(30,6)		***废弃***税额
salep	decimal(30,6)		销售成交价
num	decimal(30,6)		销售数量
in_tax_rate	decimal(30,6)		***废弃***进项税率
place	varchar		产地
paid_in_amt	decimal(30,6)		实收金额-不含优惠券
val_date	varchar		保质期至
sale_man_id	varchar		销售员ID
rec_amt	decimal(30,6)		吊牌金额/应收金额
limited_price	decimal(30,6)		***废弃***超限量价
order_status	varchar		销售员名称
refund_no	varchar		销售退货标识（是：退货 否：销售）
cost_price	decimal(30,6)		***废弃***进价
sales_clerk	varchar		营业员
produce_name	varchar		生产厂家名称
batch_code	varchar		供应商批号
vendor_no	varchar		供应商编码
vendor_name	varchar		供应商名称
goods_name	varchar		品名
goods_spec	varchar		规格
produce_date	varchar		生产日期
batch_no	varchar		SAP批次
promotion_type	varchar		SAPCAR折扣类型
coupon_no	varchar		优惠券编码
coupon_share_amt	decimal(30,2)		优惠券分摊金额
share_sum_amt	decimal(30,6)		金额-含优惠券
share_sum_profit	decimal(30,6)		毛利-含优惠券
promotion_event_id	varchar		促销活动id
sales_clerk_base	varchar		配送渠道1.药急送自提2.药急送自配送 3.药急送第三方物流 4.第三方渠道自提，5.第三方渠道配送 6.第三方渠道商家自送 7.第三方渠道专送
cashier_base	varchar		配送方
drug_combination_num	varchar		联合用药组号（药品关联销售组）
doctor_base	varchar		收银员名称
chnl	varchar		渠道名称
trd_ptyordrnum	varchar		第三方订单号
postingpostcost	varchar		过账后成本
postingpostprofit	varchar		过账后毛利
original_bill_code	varchar		原单号
pos_distype	varchar		pos折扣类型
chnl_id	varchar		渠道id
user_id	varchar		scrm 会员user_id
order_id	varchar		订单中台 order_id
bill_code_sap	varchar		SAPCAR销售单号
qrcode_pay_flag	varchar		是否为扫码支付
org_no_init	varchar		最初的门店编码
goods_id_init	varchar		最初的物料编码
payment_code	varchar		支付方式编码
last_opt_time	decimal(38,9)		最后修改时间戳
transindex	varchar		交易序列号
rowkey	varchar		交易行号
mdm_company_code	varchar		法人架构公司代码
mdm_company_code_init	varchar		最初的法人架构公司代码
data_src	varchar		数据来源,一经标记不得更改
dt	varchar	partition key
data_from	varchar	partition key
data_store	varchar	partition key
